filename	scene_label	indoor	outdoor	transportation
0.wav	transportation	0.0015457745	0.0075362423	0.9909178
1.wav	transportation	0.051298626	0.0059012356	0.9427999
10.wav	outdoor	0.2623368	0.55460036	0.18306287
100.wav	transportation	0.18255416	0.09907658	0.71836925
1000.wav	transportation	0.3924849	0.08737514	0.52014
1001.wav	indoor	0.53943735	0.41768488	0.042877883
1002.wav	outdoor	0.027234614	0.9056163	0.06714894
1003.wav	outdoor	0.2167619	0.74543256	0.037805676
1004.wav	outdoor	0.07748781	0.9125579	0.009954141
1005.wav	indoor	0.849291	0.15042976	0.00027915958
1006.wav	transportation	0.09207502	0.24037579	0.66754925
1007.wav	outdoor	0.12637201	0.83850735	0.035120573
1008.wav	indoor	0.8564491	0.14232461	0.0012263393
1009.wav	outdoor	0.19016048	0.79421175	0.015627878
101.wav	indoor	0.67143875	0.3283047	0.00025662157
1010.wav	outdoor	0.3562435	0.5824278	0.06132874
1011.wav	transportation	0.006484387	0.0010678608	0.9924477
1012.wav	indoor	0.82270736	0.121266186	0.056026638
1013.wav	outdoor	0.17044446	0.4271531	0.40240255
1014.wav	transportation	0.08063541	0.015470551	0.90389407
1015.wav	transportation	0.06387855	0.08591001	0.8502116
1016.wav	outdoor	0.11548068	0.85878885	0.025730297
1017.wav	outdoor	0.24978283	0.7437822	0.006434963
1018.wav	transportation	0.07334919	0.066611834	0.86003894
1019.wav	transportation	0.21658973	0.106068954	0.6773412
102.wav	outdoor	0.05866174	0.8101308	0.13120753
1020.wav	indoor	0.51635337	0.30348757	0.180159
1021.wav	indoor	0.5918695	0.37897772	0.029152846
1022.wav	indoor	0.77176577	0.19957317	0.028661257
1023.wav	transportation	0.04308856	0.014744523	0.9421668
1024.wav	outdoor	0.42186934	0.54741716	0.030713525
1025.wav	outdoor	0.036611266	0.9617904	0.0015985593
1026.wav	outdoor	0.2212654	0.66600215	0.112732425
1027.wav	outdoor	0.2173647	0.6029294	0.17970583
1028.wav	transportation	0.44943184	0.026484078	0.524084
1029.wav	transportation	0.00027180515	0.0010346941	0.99869347
103.wav	outdoor	0.08455978	0.913758	0.0016824408
1030.wav	indoor	0.48284426	0.3676169	0.14953882
1031.wav	transportation	0.018224701	0.041656725	0.9401186
1032.wav	indoor	0.66542166	0.3294653	0.0051128403
1033.wav	indoor	0.3943244	0.31883597	0.2868396
1034.wav	transportation	0.41064534	0.10725486	0.48209986
1035.wav	indoor	0.5959691	0.3716838	0.032347187
1036.wav	indoor	0.80807906	0.1918681	5.2944215e-05
1037.wav	transportation	0.016987965	0.046427157	0.93658465
1038.wav	indoor	0.78666824	0.21242961	0.00090233015
1039.wav	transportation	0.01695946	0.12357386	0.8594667
104.wav	outdoor	0.016913038	0.9817993	0.0012875949
1040.wav	outdoor	0.016110351	0.9812207	0.0026689274
1041.wav	outdoor	0.08051916	0.8789201	0.040560607
1042.wav	transportation	0.24866387	0.2603801	0.49095592
1043.wav	outdoor	0.04397124	0.9555665	0.0004624025
1044.wav	transportation	0.11129031	0.31211883	0.5765909
1045.wav	transportation	0.020835912	0.14948043	0.8296838
1046.wav	transportation	0.00027387278	0.000554635	0.99917144
1047.wav	indoor	0.3827214	0.3594423	0.25783628
1048.wav	transportation	0.08685459	0.15380126	0.75934416
1049.wav	transportation	0.06033153	0.0014824744	0.93818617
105.wav	indoor	0.8573538	0.14225861	0.00038757778
1050.wav	indoor	0.7702952	0.22864036	0.001064535
1051.wav	indoor	0.49542794	0.47640595	0.028166119
1052.wav	transportation	0.09134828	0.010566162	0.8980857
1053.wav	indoor	0.64284515	0.33015284	0.027002066
1054.wav	outdoor	0.07809498	0.9163245	0.0055804993
1055.wav	outdoor	0.036827482	0.93375146	0.02942099
1056.wav	outdoor	0.2138009	0.6216365	0.16456254
1057.wav	indoor	0.7920029	0.20213823	0.0058588823
1058.wav	indoor	0.6044792	0.3502065	0.04531426
1059.wav	outdoor	0.44048578	0.5554591	0.004055309
106.wav	outdoor	0.042816132	0.84266484	0.114518985
1060.wav	outdoor	0.36525694	0.6314558	0.0032872974
1061.wav	transportation	0.027812308	0.04631572	0.92587215
1062.wav	outdoor	0.40755343	0.56864214	0.023804348
