filename	scene_label	indoor	outdoor	transportation
0.wav	transportation	0.00043510352	0.0013053758	0.99825966
1.wav	transportation	0.021556173	0.0066831047	0.9717606
10.wav	outdoor	0.23928091	0.51880276	0.24191633
100.wav	transportation	0.16332868	0.093378976	0.74329233
1000.wav	transportation	0.28914922	0.087667264	0.62318337
1001.wav	indoor	0.5775227	0.26999706	0.1524804
1002.wav	outdoor	0.025688767	0.8296364	0.14467508
1003.wav	outdoor	0.22480163	0.70806074	0.06713766
1004.wav	outdoor	0.04950229	0.93956125	0.01093623
1005.wav	indoor	0.8945421	0.104996696	0.00046107927
1006.wav	transportation	0.032034494	0.050802816	0.9171626
1007.wav	outdoor	0.1566445	0.80613214	0.037223145
1008.wav	indoor	0.8019762	0.1940471	0.0039766687
1009.wav	outdoor	0.13138714	0.8469653	0.02164761
101.wav	indoor	0.83409435	0.16575183	0.00015388006
1010.wav	outdoor	0.43416262	0.47412437	0.09171288
1011.wav	transportation	0.0028190701	0.00020384204	0.9969772
1012.wav	indoor	0.70751953	0.18216383	0.11031666
1013.wav	outdoor	0.21431096	0.4798335	0.30585545
1014.wav	transportation	0.054114204	0.014109455	0.93177634
1015.wav	transportation	0.08340053	0.0844805	0.83211887
1016.wav	outdoor	0.07599595	0.878647	0.04535695
1017.wav	outdoor	0.3625635	0.62312824	0.014308247
1018.wav	transportation	0.060385413	0.03584736	0.9037671
1019.wav	transportation	0.14426209	0.08937043	0.7663677
102.wav	outdoor	0.03495262	0.81467265	0.15037452
1020.wav	indoor	0.4407173	0.29968104	0.25960165
1021.wav	indoor	0.714593	0.23838249	0.047024447
1022.wav	indoor	0.6534955	0.20923188	0.13727257
1023.wav	transportation	0.021672793	0.014128527	0.9641987
1024.wav	outdoor	0.41674918	0.4994895	0.083761215
1025.wav	outdoor	0.014643033	0.9851388	0.0002183294
1026.wav	outdoor	0.25798273	0.6093921	0.13262507
1027.wav	outdoor	0.19757049	0.5876958	0.21473365
1028.wav	transportation	0.26517516	0.027964715	0.70685995
1029.wav	transportation	5.3685024e-05	0.00027227524	0.99967414
103.wav	outdoor	0.12101672	0.875955	0.0030282459
1030.wav	indoor	0.39590105	0.3721754	0.23192358
1031.wav	transportation	0.03304902	0.015637945	0.95131284
1032.wav	indoor	0.68142813	0.31332275	0.0052488768
1033.wav	outdoor	0.380936	0.38526753	0.23379645
1034.wav	transportation	0.39394736	0.09569151	0.510361
1035.wav	indoor	0.5624827	0.38360438	0.05391295
1036.wav	indoor	0.86821795	0.13167363	0.00010847659
1037.wav	transportation	0.03357825	0.03949507	0.9269269
1038.wav	indoor	0.84865236	0.1503136	0.0010340672
1039.wav	transportation	0.026057553	0.090106875	0.8838357
104.wav	outdoor	0.013739467	0.9855345	0.00072603207
1040.wav	outdoor	0.006625574	0.9921147	0.0012597644
1041.wav	outdoor	0.053636692	0.85797656	0.0883867
1042.wav	transportation	0.1447644	0.17683342	0.67840207
1043.wav	outdoor	0.077466324	0.92176545	0.0007683329
1044.wav	transportation	0.07250605	0.34761775	0.57987636
1045.wav	transportation	0.047360875	0.043990962	0.9086483
1046.wav	transportation	5.1807107e-05	2.2718648e-05	0.9999256
1047.wav	indoor	0.33839184	0.3336323	0.32797593
1048.wav	transportation	0.04103266	0.08936444	0.86960286
1049.wav	transportation	0.03132973	0.00026878616	0.96840125
105.wav	indoor	0.9104536	0.08929443	0.00025195113
1050.wav	indoor	0.7988547	0.19920668	0.0019385058
1051.wav	outdoor	0.40062433	0.49184188	0.10753385
1052.wav	transportation	0.06591732	0.011806286	0.9222765
1053.wav	indoor	0.6033203	0.330989	0.06569068
1054.wav	outdoor	0.10094474	0.88410205	0.01495331
