filename	scene_label	indoor	outdoor	transportation
0.wav	transportation	0.001529442	0.004473543	0.993997
1.wav	transportation	0.027332416	0.0018392398	0.9708282
10.wav	outdoor	0.28298706	0.57360446	0.14340842
100.wav	transportation	0.19721287	0.070086375	0.7327008
1000.wav	indoor	0.48363099	0.03992871	0.47644025
1001.wav	indoor	0.67337143	0.2578711	0.068757385
1002.wav	outdoor	0.020910267	0.90502226	0.0740674
1003.wav	outdoor	0.29482523	0.6343099	0.07086486
1004.wav	outdoor	0.037859816	0.94001275	0.022127483
1005.wav	indoor	0.93761075	0.062173236	0.00021593475
1006.wav	transportation	0.014135929	0.09985467	0.8860095
1007.wav	outdoor	0.15122092	0.7957007	0.05307827
1008.wav	indoor	0.919974	0.078678906	0.00134709
1009.wav	outdoor	0.18932274	0.77283996	0.0378373
101.wav	indoor	0.77595335	0.22394471	0.00010189264
1010.wav	outdoor	0.30743796	0.625474	0.067087986
1011.wav	transportation	0.006968478	0.00026628736	0.9927653
1012.wav	indoor	0.8557326	0.09293868	0.05132874
1013.wav	transportation	0.27290767	0.3369456	0.39014664
1014.wav	transportation	0.06398251	0.0040162513	0.932001
1015.wav	transportation	0.05746712	0.050388664	0.8921441
1016.wav	outdoor	0.082058094	0.89254016	0.02540189
1017.wav	outdoor	0.35882765	0.63546	0.0057123406
1018.wav	transportation	0.07413308	0.025081795	0.90078515
1019.wav	transportation	0.26811615	0.054608047	0.6772758
102.wav	outdoor	0.06431663	0.7753934	0.16028997
1020.wav	indoor	0.5568376	0.16021606	0.28294623
1021.wav	indoor	0.7457262	0.22750251	0.026771057
1022.wav	indoor	0.73297423	0.18625887	0.08076688
1023.wav	transportation	0.0419732	0.006341332	0.95168555
1024.wav	outdoor	0.4846542	0.49104518	0.024300672
1025.wav	outdoor	0.005973353	0.9936422	0.00038431643
1026.wav	outdoor	0.2991472	0.51741725	0.18343565
1027.wav	transportation	0.43052298	0.10871299	0.46076387
1028.wav	indoor	0.6040199	0.021007836	0.37497234
1029.wav	transportation	0.00011211076	0.00040227114	0.9994858
103.wav	outdoor	0.20555142	0.78281575	0.011632884
1030.wav	indoor	0.5661567	0.26996002	0.16388324
1031.wav	transportation	0.04231277	0.023256231	0.9344312
1032.wav	indoor	0.71755016	0.27913463	0.0033153575
1033.wav	indoor	0.6132965	0.1780999	0.20860359
1034.wav	indoor	0.5396804	0.047566164	0.41275328
1035.wav	indoor	0.66518605	0.29792112	0.03689279
1036.wav	indoor	0.87186396	0.1280944	4.153273e-05
1037.wav	transportation	0.013479099	0.033295806	0.95322526
1038.wav	indoor	0.8591533	0.14024511	0.0006013366
1039.wav	transportation	0.005673024	0.05005192	0.9442749
104.wav	outdoor	0.012786756	0.9854202	0.0017928334
1040.wav	outdoor	0.0096619725	0.98832214	0.0020157455
1041.wav	outdoor	0.1253855	0.8404387	0.034175806
1042.wav	transportation	0.31169826	0.27236566	0.41593605
1043.wav	outdoor	0.08726186	0.91085815	0.0018803716
1044.wav	transportation	0.15999343	0.20122321	0.63878334
1045.wav	transportation	0.016232045	0.049185157	0.9345827
1046.wav	transportation	0.00017882031	9.051999e-05	0.9997307
1047.wav	indoor	0.43622798	0.21870585	0.345066
1048.wav	transportation	0.06265025	0.119835004	0.8175147
1049.wav	transportation	0.07292611	0.0008116535	0.9262622
105.wav	indoor	0.94559634	0.054289024	0.00011473737
1050.wav	indoor	0.83724964	0.1623508	0.0003995663
1051.wav	indoor	0.543275	0.42884484	0.027880315
1052.wav	transportation	0.06867497	0.007276418	0.9240486
1053.wav	indoor	0.76183784	0.21960814	0.018554017
1054.wav	outdoor	0.17201033	0.7891582	0.038831316
1055.wav	outdoor	0.046272624	0.9082037	0.04552377
1056.wav	outdoor	0.3722525	0.4738741	0.15387338
1057.wav	indoor	0.8482736	0.1438502	0.007876161
1058.wav	indoor	0.7084375	0.26657268	0.02498992
1059.wav	outdoor	0.4314639	0.5629683	0.005567673
106.wav	outdoor	0.105711795	0.75915176	0.13513643
1060.wav	indoor	0.5287053	0.46908775	0.0022069332
1061.wav	transportation	0.03245363	0.033173148	0.9343732
1062.wav	indoor	0.527266	0.42990255	0.042831473
1063.wav	outdoor	0.42672205	0.43995658	0.13332134
1064.wav	outdoor	0.1730525	0.75674754	0.07019979
1065.wav	outdoor	0.049256653	0.94118214	0.0095611345
1066.wav	transportation	0.21672948	0.030602578	0.75266784
1067.wav	indoor	0.46764293	0.41227317	0.12008399
1068.wav	outdoor	0.24440041	0.7541273	0.0014723458
1069.wav	indoor	0.8346926	0.14524446	0.02006306
107.wav	indoor	0.8515588	0.14677092	0.0016702099
1070.wav	outdoor	0.012536293	0.9795988	0.0078649875
1071.wav	indoor	0.7475513	0.25231028	0.00013845976
1072.wav	outdoor	0.079229124	0.90116847	0.019602496
1073.wav	indoor	0.74917144	0.24553294	0.0052956087
1074.wav	transportation	0.11074203	0.025309023	0.863949
1075.wav	transportation	0.0056015654	0.0029074708	0.99149114
1076.wav	transportation	0.075055	0.00026582737	0.92467916
1077.wav	transportation	0.017452179	0.0018002286	0.9807475
1078.wav	indoor	0.59849894	0.09334068	0.30816045
1079.wav	indoor	0.53325856	0.46427765	0.0024637359
108.wav	outdoor	0.055223845	0.93005645	0.014719578
1080.wav	outdoor	0.22230788	0.76621956	0.011472508
1081.wav	indoor	0.4828205	0.3972909	0.119888544
1082.wav	outdoor	0.011970542	0.98573524	0.0022942661
1083.wav	outdoor	0.18935153	0.4474372	0.3632112
1084.wav	indoor	0.50579774	0.21425486	0.27994734
1085.wav	indoor	0.69657737	0.3024245	0.0009981149
1086.wav	indoor	0.5510106	0.33472544	0.114264056
1087.wav	indoor	0.68503726	0.059283663	0.25567907
1088.wav	indoor	0.5146341	0.38086385	0.10450198
1089.wav	transportation	0.19273902	0.0588863	0.74837476
109.wav	outdoor	0.19033507	0.7927165	0.016948532
1090.wav	indoor	0.5057447	0.48945817	0.004797061
1091.wav	outdoor	0.25520056	0.6080314	0.13676812
1092.wav	outdoor	0.28188968	0.7162479	0.0018623758
1093.wav	indoor	0.9141819	0.0857367	8.147275e-05
1094.wav	outdoor	0.35459512	0.39410818	0.25129667
1095.wav	transportation	0.026263509	0.13412331	0.8396133
1096.wav	transportation	0.026333699	0.021977836	0.9516882
1097.wav	transportation	0.0731909	0.027082061	0.89972675
1098.wav	outdoor	0.040775858	0.78855455	0.17066959
